param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,16.5,1.49,45.71,45.71,45.71,0.0,0.0
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,15.64,1.46,48.57,42.86,42.86,5.71,5.71
BlockRNNModel_input_chunk_length5_modelLSTM_n_epochs15_output_chunk_length1.csv,17.31,1.55,45.71,45.71,45.71,0.0,0.0
LinearRegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,6.03,0.64,40.0,31.43,31.43,8.57,8.57
LinearRegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,5.87,0.64,40.0,34.29,34.29,5.71,5.71
LinearRegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,6.11,0.64,40.0,31.43,31.43,8.57,8.57
LinearRegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,5.77,0.63,40.0,31.43,31.43,8.57,8.57
LinearRegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,6.05,0.64,40.0,31.43,31.43,8.57,8.57
LinearRegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,5.7,0.62,40.0,31.43,31.43,8.57,8.57
RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,3.37,0.33,57.14,42.86,42.86,14.29,14.29
RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,3.21,0.33,60.0,45.71,45.71,14.29,14.29
RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,3.19,0.32,57.14,42.86,42.86,14.29,14.29
RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,2.99,0.31,62.86,45.71,45.71,17.14,17.14
RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,3.28,0.33,57.14,42.86,42.86,14.29,14.29
RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.89,0.3,62.86,42.86,42.86,20.0,20.0
RegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,6.03,0.64,40.0,31.43,31.43,8.57,8.57
RegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,5.87,0.64,40.0,34.29,34.29,5.71,5.71
RegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,6.11,0.64,40.0,31.43,31.43,8.57,8.57
RegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,5.77,0.63,40.0,31.43,31.43,8.57,8.57
RegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,6.05,0.64,40.0,31.43,31.43,8.57,8.57
RegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,5.7,0.62,40.0,31.43,31.43,8.57,8.57
TransformerModel_input_chunk_length1_n_epochs15_output_chunk_length1.csv,16.59,1.47,45.71,45.71,45.71,0.0,0.0
TransformerModel_input_chunk_length3_n_epochs15_output_chunk_length1.csv,15.62,1.47,45.71,45.71,45.71,0.0,0.0
TransformerModel_input_chunk_length5_n_epochs15_output_chunk_length1.csv,16.53,1.65,48.57,45.71,45.71,2.86,2.86
XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.2,0.35,57.14,37.14,37.14,20.0,20.0
XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,3.27,0.33,51.43,40.0,40.0,11.43,11.43
XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.33,0.37,51.43,42.86,42.86,8.57,8.57
XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,3.28,0.35,57.14,37.14,37.14,20.0,20.0
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,3.03,0.32,60.0,34.29,34.29,25.71,25.71
XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.58,0.4,57.14,42.86,42.86,14.29,14.29
XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,3.28,0.35,57.14,37.14,37.14,20.0,20.0
XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,2.79,0.28,54.29,37.14,37.14,17.14,17.14
XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.52,0.39,57.14,42.86,42.86,14.29,14.29
