Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,121.2
1,2022-01-04,2,2022-01-13,121.4
2,2022-01-13,2,2022-01-24,112.73
3,2022-01-24,2,2022-02-02,103.02
4,2022-02-02,2,2022-02-11,100.66
5,2022-02-11,2,2022-02-23,94.39
6,2022-02-23,2,2022-03-04,98.17
7,2022-03-04,2,2022-03-15,106.73
8,2022-03-15,2,2022-03-24,105.24
9,2022-03-24,2,2022-04-04,103.22
10,2022-04-04,2,2022-04-19,111.16
11,2022-04-19,2,2022-04-28,102.99
12,2022-04-28,2,2022-05-11,113.15
13,2022-05-11,2,2022-05-23,102.12
14,2022-05-23,2,2022-06-01,109.01
15,2022-06-01,2,2022-06-13,114.77
16,2022-06-13,2,2022-06-22,98.4
17,2022-06-22,2,2022-07-01,105.94
18,2022-07-01,2,2022-07-12,111.61
19,2022-07-12,2,2022-07-22,116.5
20,2022-07-22,2,2022-08-04,110.58
21,2022-08-04,2,2022-08-16,115.02
22,2022-08-16,2,2022-08-25,112.77
23,2022-08-25,2,2022-09-05,100.9
24,2022-09-05,2,2022-09-14,95.57
25,2022-09-14,2,2022-09-23,95.33
26,2022-09-23,2,2022-10-04,85.19
27,2022-10-04,2,2022-10-17,73.4
28,2022-10-17,2,2022-10-27,78.97
29,2022-10-27,2,2022-11-07,92.08
30,2022-11-07,2,2022-11-16,93.94
31,2022-11-16,2,2022-11-25,99.45
32,2022-11-25,2,2022-12-07,95.33
33,2022-12-07,2,2022-12-19,97.34
34,2022-12-19,2,2022-12-28,102.22
