Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,118.51
1,2022-01-04,2,2022-01-13,122.51
2,2022-01-13,2,2022-01-24,115.81
3,2022-01-24,2,2022-02-02,118.84
4,2022-02-02,2,2022-02-11,111.67
5,2022-02-11,2,2022-02-23,104.12
6,2022-02-23,2,2022-03-04,103.28
7,2022-03-04,2,2022-03-15,103.82
8,2022-03-15,2,2022-03-24,101.41
9,2022-03-24,2,2022-04-04,104.47
10,2022-04-04,2,2022-04-19,106.64
11,2022-04-19,2,2022-04-28,106.94
12,2022-04-28,2,2022-05-11,110.61
13,2022-05-11,2,2022-05-23,104.12
14,2022-05-23,2,2022-06-01,102.97
15,2022-06-01,2,2022-06-13,106.81
16,2022-06-13,2,2022-06-22,107.22
17,2022-06-22,2,2022-07-01,108.09
18,2022-07-01,2,2022-07-12,107.64
19,2022-07-12,2,2022-07-22,114.1
20,2022-07-22,2,2022-08-04,115.28
21,2022-08-04,2,2022-08-16,113.79
22,2022-08-16,2,2022-08-25,114.51
23,2022-08-25,2,2022-09-05,107.68
24,2022-09-05,2,2022-09-14,106.92
25,2022-09-14,2,2022-09-23,106.5
26,2022-09-23,2,2022-10-04,77.43
27,2022-10-04,2,2022-10-17,83.39
28,2022-10-17,2,2022-10-27,84.96
29,2022-10-27,2,2022-11-07,77.77
30,2022-11-07,2,2022-11-16,85.26
31,2022-11-16,2,2022-11-25,100.04
32,2022-11-25,2,2022-12-07,96.75
33,2022-12-07,2,2022-12-19,99.45
34,2022-12-19,2,2022-12-28,95.74
