Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,88.93
1,2022-01-04,2,2022-01-13,88.24
2,2022-01-13,2,2022-01-24,92.11
3,2022-01-24,2,2022-02-02,86.57
4,2022-02-02,2,2022-02-11,86.15
5,2022-02-11,2,2022-02-23,84.97
6,2022-02-23,2,2022-03-04,85.11
7,2022-03-04,2,2022-03-15,84.75
8,2022-03-15,2,2022-03-24,84.52
9,2022-03-24,2,2022-04-04,80.88
10,2022-04-04,2,2022-04-19,86.03
11,2022-04-19,2,2022-04-28,86.1
12,2022-04-28,2,2022-05-11,100.08
13,2022-05-11,2,2022-05-23,93.29
14,2022-05-23,2,2022-06-01,94.69
15,2022-06-01,2,2022-06-13,93.75
16,2022-06-13,2,2022-06-22,86.7
17,2022-06-22,2,2022-07-01,86.83
18,2022-07-01,2,2022-07-12,93.85
19,2022-07-12,2,2022-07-22,95.24
20,2022-07-22,2,2022-08-04,94.27
21,2022-08-04,2,2022-08-16,87.12
22,2022-08-16,2,2022-08-25,86.28
23,2022-08-25,2,2022-09-05,87.28
24,2022-09-05,2,2022-09-14,87.39
25,2022-09-14,2,2022-09-23,93.87
26,2022-09-23,2,2022-10-04,95.91
27,2022-10-04,2,2022-10-17,95.3
28,2022-10-17,2,2022-10-27,95.34
29,2022-10-27,2,2022-11-07,93.65
30,2022-11-07,2,2022-11-16,95.01
31,2022-11-16,2,2022-11-25,88.43
32,2022-11-25,2,2022-12-07,86.79
33,2022-12-07,2,2022-12-19,85.65
34,2022-12-19,2,2022-12-28,87.54
