param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,12.33,8.12,62.86,62.86,62.86,14.29,0.0
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,12.78,8.48,62.86,62.86,62.86,14.29,0.0
BlockRNNModel_input_chunk_length5_modelLSTM_n_epochs15_output_chunk_length1.csv,11.84,8.15,65.71,60.0,60.0,20.0,5.71
LinearRegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.68,2.73,51.43,31.43,28.57,22.86,22.86
LinearRegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.29,2.42,54.29,37.14,34.29,20.0,20.0
LinearRegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,3.69,2.73,51.43,31.43,28.57,22.86,22.86
LinearRegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.35,2.43,51.43,31.43,28.57,22.86,22.86
LinearRegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,3.68,2.73,51.43,31.43,28.57,22.86,22.86
LinearRegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.35,2.43,51.43,31.43,28.57,22.86,22.86
RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,3.2,2.44,51.43,34.29,34.29,20.0,17.14
RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,3.3,2.47,51.43,37.14,37.14,17.14,14.29
RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,3.17,2.43,48.57,34.29,34.29,20.0,14.29
RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,3.36,2.52,48.57,37.14,37.14,14.29,11.43
RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,3.26,2.44,51.43,28.57,28.57,28.57,22.86
RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,3.31,2.53,51.43,40.0,40.0,14.29,11.43
RegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.68,2.73,51.43,31.43,28.57,22.86,22.86
RegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.29,2.42,54.29,37.14,34.29,20.0,20.0
RegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,3.69,2.73,51.43,31.43,28.57,22.86,22.86
RegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.35,2.43,51.43,31.43,28.57,22.86,22.86
RegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,3.68,2.73,51.43,31.43,28.57,22.86,22.86
RegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.35,2.43,51.43,31.43,28.57,22.86,22.86
TransformerModel_input_chunk_length1_n_epochs15_output_chunk_length1.csv,12.43,8.23,62.86,62.86,62.86,14.29,0.0
TransformerModel_input_chunk_length3_n_epochs15_output_chunk_length1.csv,12.49,8.34,62.86,62.86,62.86,14.29,0.0
TransformerModel_input_chunk_length5_n_epochs15_output_chunk_length1.csv,15.85,10.67,62.86,62.86,62.86,14.29,0.0
XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.31,2.61,48.57,34.29,34.29,17.14,14.29
XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.75,2.13,65.71,51.43,51.43,22.86,14.29
XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.37,2.5,60.0,45.71,45.71,20.0,14.29
XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,3.22,2.55,51.43,34.29,34.29,20.0,17.14
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,3.02,2.15,60.0,40.0,40.0,28.57,20.0
XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.6,2.7,60.0,45.71,45.71,20.0,14.29
XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,3.18,2.52,51.43,34.29,34.29,20.0,17.14
XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,3.24,2.37,48.57,34.29,34.29,22.86,14.29
XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.47,2.6,57.14,42.86,42.86,20.0,14.29
