Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,73.57
1,2022-01-04,19,2022-01-13,76.59
2,2022-01-13,19,2022-01-24,75.46
3,2022-01-24,19,2022-02-02,76.25
4,2022-02-02,19,2022-02-11,74.72
5,2022-02-11,19,2022-02-23,78.66
6,2022-02-23,19,2022-03-04,77.11
7,2022-03-04,19,2022-03-15,76.93
8,2022-03-15,19,2022-03-24,76.13
9,2022-03-24,19,2022-04-04,76.64
10,2022-04-04,19,2022-04-19,77.04
11,2022-04-19,19,2022-04-28,67.11
12,2022-04-28,19,2022-05-11,69.84
13,2022-05-11,19,2022-05-23,71.69
14,2022-05-23,19,2022-06-01,74.86
15,2022-06-01,19,2022-06-13,72.29
16,2022-06-13,19,2022-06-22,67.1
17,2022-06-22,19,2022-07-01,68.98
18,2022-07-01,19,2022-07-12,68.1
19,2022-07-12,19,2022-07-22,66.49
20,2022-07-22,19,2022-08-04,68.32
21,2022-08-04,19,2022-08-16,70.76
22,2022-08-16,19,2022-08-25,78.85
23,2022-08-25,19,2022-09-05,76.33
24,2022-09-05,19,2022-09-14,72.64
25,2022-09-14,19,2022-09-23,75.75
26,2022-09-23,19,2022-10-04,73.54
27,2022-10-04,19,2022-10-17,73.61
28,2022-10-17,19,2022-10-27,73.1
29,2022-10-27,19,2022-11-07,78.01
30,2022-11-07,19,2022-11-16,71.56
31,2022-11-16,19,2022-11-25,71.37
32,2022-11-25,19,2022-12-07,71.77
33,2022-12-07,19,2022-12-19,73.12
34,2022-12-19,19,2022-12-28,73.52
