Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,72.36
1,2022-01-04,19,2022-01-13,77.58
2,2022-01-13,19,2022-01-24,76.18
3,2022-01-24,19,2022-02-02,78.04
4,2022-02-02,19,2022-02-11,75.72
5,2022-02-11,19,2022-02-23,78.45
6,2022-02-23,19,2022-03-04,76.2
7,2022-03-04,19,2022-03-15,75.95
8,2022-03-15,19,2022-03-24,76.44
9,2022-03-24,19,2022-04-04,73.72
10,2022-04-04,19,2022-04-19,76.7
11,2022-04-19,19,2022-04-28,65.88
12,2022-04-28,19,2022-05-11,69.39
13,2022-05-11,19,2022-05-23,70.86
14,2022-05-23,19,2022-06-01,71.04
15,2022-06-01,19,2022-06-13,75.07
16,2022-06-13,19,2022-06-22,69.17
17,2022-06-22,19,2022-07-01,66.7
18,2022-07-01,19,2022-07-12,67.7
19,2022-07-12,19,2022-07-22,66.79
20,2022-07-22,19,2022-08-04,67.14
21,2022-08-04,19,2022-08-16,70.86
22,2022-08-16,19,2022-08-25,75.69
23,2022-08-25,19,2022-09-05,71.71
24,2022-09-05,19,2022-09-14,71.57
25,2022-09-14,19,2022-09-23,72.73
26,2022-09-23,19,2022-10-04,71.98
27,2022-10-04,19,2022-10-17,73.79
28,2022-10-17,19,2022-10-27,71.33
29,2022-10-27,19,2022-11-07,70.43
30,2022-11-07,19,2022-11-16,73.76
31,2022-11-16,19,2022-11-25,74.23
32,2022-11-25,19,2022-12-07,71.38
33,2022-12-07,19,2022-12-19,73.75
34,2022-12-19,19,2022-12-28,73.21
