Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,70.01
1,2022-01-04,19,2022-01-13,73.03
2,2022-01-13,19,2022-01-24,81.81
3,2022-01-24,19,2022-02-02,74.04
4,2022-02-02,19,2022-02-11,76.08
5,2022-02-11,19,2022-02-23,76.52
6,2022-02-23,19,2022-03-04,75.88
7,2022-03-04,19,2022-03-15,76.11
8,2022-03-15,19,2022-03-24,78.34
9,2022-03-24,19,2022-04-04,75.47
10,2022-04-04,19,2022-04-19,80.31
11,2022-04-19,19,2022-04-28,69.51
12,2022-04-28,19,2022-05-11,69.32
13,2022-05-11,19,2022-05-23,70.5
14,2022-05-23,19,2022-06-01,74.71
15,2022-06-01,19,2022-06-13,74.23
16,2022-06-13,19,2022-06-22,66.35
17,2022-06-22,19,2022-07-01,66.09
18,2022-07-01,19,2022-07-12,67.36
19,2022-07-12,19,2022-07-22,67.4
20,2022-07-22,19,2022-08-04,68.96
21,2022-08-04,19,2022-08-16,70.99
22,2022-08-16,19,2022-08-25,73.85
23,2022-08-25,19,2022-09-05,72.3
24,2022-09-05,19,2022-09-14,71.57
25,2022-09-14,19,2022-09-23,72.42
26,2022-09-23,19,2022-10-04,69.61
27,2022-10-04,19,2022-10-17,72.12
28,2022-10-17,19,2022-10-27,69.85
29,2022-10-27,19,2022-11-07,73.23
30,2022-11-07,19,2022-11-16,72.92
31,2022-11-16,19,2022-11-25,71.22
32,2022-11-25,19,2022-12-07,72.76
33,2022-12-07,19,2022-12-19,72.48
34,2022-12-19,19,2022-12-28,73.21
