Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,8,2022-01-04,41.79
1,2022-01-04,8,2022-01-13,43.83
2,2022-01-13,8,2022-01-24,45.16
3,2022-01-24,8,2022-02-02,45.98
4,2022-02-02,8,2022-02-11,45.35
5,2022-02-11,8,2022-02-23,47.14
6,2022-02-23,8,2022-03-04,46.03
7,2022-03-04,8,2022-03-15,46.32
8,2022-03-15,8,2022-03-24,43.21
9,2022-03-24,8,2022-04-04,44.98
10,2022-04-04,8,2022-04-19,45.05
11,2022-04-19,8,2022-04-28,45.78
12,2022-04-28,8,2022-05-11,46.05
13,2022-05-11,8,2022-05-23,45.05
14,2022-05-23,8,2022-06-01,46.8
15,2022-06-01,8,2022-06-13,46.71
16,2022-06-13,8,2022-06-22,47.14
17,2022-06-22,8,2022-07-01,47.49
18,2022-07-01,8,2022-07-12,47.14
19,2022-07-12,8,2022-07-22,46.91
20,2022-07-22,8,2022-08-04,46.39
21,2022-08-04,8,2022-08-16,46.77
22,2022-08-16,8,2022-08-25,45.16
23,2022-08-25,8,2022-09-05,45.84
24,2022-09-05,8,2022-09-14,41.9
25,2022-09-14,8,2022-09-23,42.23
26,2022-09-23,8,2022-10-04,41.13
27,2022-10-04,8,2022-10-17,40.35
28,2022-10-17,8,2022-10-27,38.21
29,2022-10-27,8,2022-11-07,41.07
30,2022-11-07,8,2022-11-16,42.21
31,2022-11-16,8,2022-11-25,41.85
32,2022-11-25,8,2022-12-07,41.52
33,2022-12-07,8,2022-12-19,41.08
34,2022-12-19,8,2022-12-28,41.3
