Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,8,2022-01-04,41.81
1,2022-01-04,8,2022-01-13,43.28
2,2022-01-13,8,2022-01-24,45.48
3,2022-01-24,8,2022-02-02,45.52
4,2022-02-02,8,2022-02-11,45.13
5,2022-02-11,8,2022-02-23,46.04
6,2022-02-23,8,2022-03-04,46.16
7,2022-03-04,8,2022-03-15,44.84
8,2022-03-15,8,2022-03-24,42.7
9,2022-03-24,8,2022-04-04,44.67
10,2022-04-04,8,2022-04-19,44.81
11,2022-04-19,8,2022-04-28,45.37
12,2022-04-28,8,2022-05-11,46.89
13,2022-05-11,8,2022-05-23,46.57
14,2022-05-23,8,2022-06-01,47.59
15,2022-06-01,8,2022-06-13,48.09
16,2022-06-13,8,2022-06-22,47.88
17,2022-06-22,8,2022-07-01,47.76
18,2022-07-01,8,2022-07-12,47.39
19,2022-07-12,8,2022-07-22,47.31
20,2022-07-22,8,2022-08-04,46.85
21,2022-08-04,8,2022-08-16,46.16
22,2022-08-16,8,2022-08-25,45.92
23,2022-08-25,8,2022-09-05,46.09
24,2022-09-05,8,2022-09-14,41.47
25,2022-09-14,8,2022-09-23,41.58
26,2022-09-23,8,2022-10-04,41.17
27,2022-10-04,8,2022-10-17,39.87
28,2022-10-17,8,2022-10-27,37.57
29,2022-10-27,8,2022-11-07,40.7
30,2022-11-07,8,2022-11-16,41.78
31,2022-11-16,8,2022-11-25,41.77
32,2022-11-25,8,2022-12-07,41.8
33,2022-12-07,8,2022-12-19,40.93
34,2022-12-19,8,2022-12-28,40.82
