Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,138.86
1,2022-01-04,6,2022-01-13,142.52
2,2022-01-13,6,2022-01-24,143.01
3,2022-01-24,6,2022-02-02,140.44
4,2022-02-02,6,2022-02-11,143.62
5,2022-02-11,6,2022-02-23,147.45
6,2022-02-23,6,2022-03-04,158.95
7,2022-03-04,6,2022-03-15,158.81
8,2022-03-15,6,2022-03-24,157.18
9,2022-03-24,6,2022-04-04,158.71
10,2022-04-04,6,2022-04-19,160.42
11,2022-04-19,6,2022-04-28,152.88
12,2022-04-28,6,2022-05-11,149.86
13,2022-05-11,6,2022-05-23,146.51
14,2022-05-23,6,2022-06-01,145.29
15,2022-06-01,6,2022-06-13,145.82
16,2022-06-13,6,2022-06-22,144.75
17,2022-06-22,6,2022-07-01,144.05
18,2022-07-01,6,2022-07-12,148.01
19,2022-07-12,6,2022-07-22,147.43
20,2022-07-22,6,2022-08-04,145.5
21,2022-08-04,6,2022-08-16,144.87
22,2022-08-16,6,2022-08-25,148.91
23,2022-08-25,6,2022-09-05,152.97
24,2022-09-05,6,2022-09-14,148.96
25,2022-09-14,6,2022-09-23,146.82
26,2022-09-23,6,2022-10-04,149.44
27,2022-10-04,6,2022-10-17,148.29
28,2022-10-17,6,2022-10-27,144.75
29,2022-10-27,6,2022-11-07,145.84
30,2022-11-07,6,2022-11-16,145.88
31,2022-11-16,6,2022-11-25,145.47
32,2022-11-25,6,2022-12-07,145.62
33,2022-12-07,6,2022-12-19,144.74
34,2022-12-19,6,2022-12-28,142.66
