Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,146.61
1,2022-01-04,6,2022-01-13,150.64
2,2022-01-13,6,2022-01-24,192.77
3,2022-01-24,6,2022-02-02,182.92
4,2022-02-02,6,2022-02-11,176.22
5,2022-02-11,6,2022-02-23,130.83
6,2022-02-23,6,2022-03-04,178.17
7,2022-03-04,6,2022-03-15,193.99
8,2022-03-15,6,2022-03-24,176.07
9,2022-03-24,6,2022-04-04,172.64
10,2022-04-04,6,2022-04-19,119.72
11,2022-04-19,6,2022-04-28,179.26
12,2022-04-28,6,2022-05-11,155.06
13,2022-05-11,6,2022-05-23,186.54
14,2022-05-23,6,2022-06-01,190.77
15,2022-06-01,6,2022-06-13,175.4
16,2022-06-13,6,2022-06-22,182.17
17,2022-06-22,6,2022-07-01,175.35
18,2022-07-01,6,2022-07-12,179.99
19,2022-07-12,6,2022-07-22,145.12
20,2022-07-22,6,2022-08-04,173.97
21,2022-08-04,6,2022-08-16,159.24
22,2022-08-16,6,2022-08-25,149.45
23,2022-08-25,6,2022-09-05,156.25
24,2022-09-05,6,2022-09-14,121.5
25,2022-09-14,6,2022-09-23,152.89
26,2022-09-23,6,2022-10-04,174.98
27,2022-10-04,6,2022-10-17,153.86
28,2022-10-17,6,2022-10-27,176.92
29,2022-10-27,6,2022-11-07,170.52
30,2022-11-07,6,2022-11-16,178.79
31,2022-11-16,6,2022-11-25,168.28
32,2022-11-25,6,2022-12-07,171.6
33,2022-12-07,6,2022-12-19,169.7
34,2022-12-19,6,2022-12-28,166.38
