Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,37.25
1,2022-01-04,12,2022-01-13,37.41
2,2022-01-13,12,2022-01-24,39.02
3,2022-01-24,12,2022-02-02,38.74
4,2022-02-02,12,2022-02-11,38.21
5,2022-02-11,12,2022-02-23,40.08
6,2022-02-23,12,2022-03-04,38.48
7,2022-03-04,12,2022-03-15,38.91
8,2022-03-15,12,2022-03-24,38.61
9,2022-03-24,12,2022-04-04,38.8
10,2022-04-04,12,2022-04-19,38.51
11,2022-04-19,12,2022-04-28,37.7
12,2022-04-28,12,2022-05-11,37.66
13,2022-05-11,12,2022-05-23,37.98
14,2022-05-23,12,2022-06-01,38.22
15,2022-06-01,12,2022-06-13,38.66
16,2022-06-13,12,2022-06-22,38.23
17,2022-06-22,12,2022-07-01,35.36
18,2022-07-01,12,2022-07-12,34.94
19,2022-07-12,12,2022-07-22,35.72
20,2022-07-22,12,2022-08-04,35.38
21,2022-08-04,12,2022-08-16,35.59
22,2022-08-16,12,2022-08-25,37.21
23,2022-08-25,12,2022-09-05,38.02
24,2022-09-05,12,2022-09-14,37.07
25,2022-09-14,12,2022-09-23,37.3
26,2022-09-23,12,2022-10-04,37.2
27,2022-10-04,12,2022-10-17,35.61
28,2022-10-17,12,2022-10-27,35.49
29,2022-10-27,12,2022-11-07,35.91
30,2022-11-07,12,2022-11-16,35.72
31,2022-11-16,12,2022-11-25,35.4
32,2022-11-25,12,2022-12-07,35.21
33,2022-12-07,12,2022-12-19,34.71
34,2022-12-19,12,2022-12-28,34.07
