Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,37.24
1,2022-01-04,12,2022-01-13,36.78
2,2022-01-13,12,2022-01-24,36.02
3,2022-01-24,12,2022-02-02,36.22
4,2022-02-02,12,2022-02-11,39.78
5,2022-02-11,12,2022-02-23,40.13
6,2022-02-23,12,2022-03-04,37.4
7,2022-03-04,12,2022-03-15,39.36
8,2022-03-15,12,2022-03-24,37.76
9,2022-03-24,12,2022-04-04,38.86
10,2022-04-04,12,2022-04-19,38.66
11,2022-04-19,12,2022-04-28,36.64
12,2022-04-28,12,2022-05-11,37.17
13,2022-05-11,12,2022-05-23,39.52
14,2022-05-23,12,2022-06-01,40.79
15,2022-06-01,12,2022-06-13,41.72
16,2022-06-13,12,2022-06-22,37.35
17,2022-06-22,12,2022-07-01,36.05
18,2022-07-01,12,2022-07-12,36.49
19,2022-07-12,12,2022-07-22,33.35
20,2022-07-22,12,2022-08-04,34.42
21,2022-08-04,12,2022-08-16,33.96
22,2022-08-16,12,2022-08-25,36.84
23,2022-08-25,12,2022-09-05,38.09
24,2022-09-05,12,2022-09-14,35.73
25,2022-09-14,12,2022-09-23,36.8
26,2022-09-23,12,2022-10-04,37.81
27,2022-10-04,12,2022-10-17,35.57
28,2022-10-17,12,2022-10-27,35.7
29,2022-10-27,12,2022-11-07,38.27
30,2022-11-07,12,2022-11-16,36.53
31,2022-11-16,12,2022-11-25,34.6
32,2022-11-25,12,2022-12-07,34.49
33,2022-12-07,12,2022-12-19,32.33
34,2022-12-19,12,2022-12-28,31.87
