Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,37.26
1,2022-01-04,12,2022-01-13,38.31
2,2022-01-13,12,2022-01-24,38.07
3,2022-01-24,12,2022-02-02,38.23
4,2022-02-02,12,2022-02-11,38.74
5,2022-02-11,12,2022-02-23,42.59
6,2022-02-23,12,2022-03-04,38.59
7,2022-03-04,12,2022-03-15,38.3
8,2022-03-15,12,2022-03-24,38.39
9,2022-03-24,12,2022-04-04,38.93
10,2022-04-04,12,2022-04-19,39.22
11,2022-04-19,12,2022-04-28,36.96
12,2022-04-28,12,2022-05-11,38.5
13,2022-05-11,12,2022-05-23,39.09
14,2022-05-23,12,2022-06-01,38.33
15,2022-06-01,12,2022-06-13,38.42
16,2022-06-13,12,2022-06-22,38.69
17,2022-06-22,12,2022-07-01,33.18
18,2022-07-01,12,2022-07-12,33.58
19,2022-07-12,12,2022-07-22,36.23
20,2022-07-22,12,2022-08-04,34.32
21,2022-08-04,12,2022-08-16,35.91
22,2022-08-16,12,2022-08-25,36.7
23,2022-08-25,12,2022-09-05,38.47
24,2022-09-05,12,2022-09-14,38.02
25,2022-09-14,12,2022-09-23,36.62
26,2022-09-23,12,2022-10-04,37.2
27,2022-10-04,12,2022-10-17,35.7
28,2022-10-17,12,2022-10-27,34.28
29,2022-10-27,12,2022-11-07,36.84
30,2022-11-07,12,2022-11-16,36.25
31,2022-11-16,12,2022-11-25,34.75
32,2022-11-25,12,2022-12-07,35.12
33,2022-12-07,12,2022-12-19,33.55
34,2022-12-19,12,2022-12-28,35.93
