Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,117.66
1,2022-01-04,13,2022-01-13,112.84
2,2022-01-13,13,2022-01-24,122.37
3,2022-01-24,13,2022-02-02,125.13
4,2022-02-02,13,2022-02-11,136.01
5,2022-02-11,13,2022-02-23,135.07
6,2022-02-23,13,2022-03-04,129.24
7,2022-03-04,13,2022-03-15,135.74
8,2022-03-15,13,2022-03-24,137.75
9,2022-03-24,13,2022-04-04,142.64
10,2022-04-04,13,2022-04-19,130.81
11,2022-04-19,13,2022-04-28,134.88
12,2022-04-28,13,2022-05-11,132.39
13,2022-05-11,13,2022-05-23,150.86
14,2022-05-23,13,2022-06-01,146.57
15,2022-06-01,13,2022-06-13,157.27
16,2022-06-13,13,2022-06-22,158.09
17,2022-06-22,13,2022-07-01,155.05
18,2022-07-01,13,2022-07-12,158.73
19,2022-07-12,13,2022-07-22,161.98
20,2022-07-22,13,2022-08-04,147.61
21,2022-08-04,13,2022-08-16,152.34
22,2022-08-16,13,2022-08-25,149.15
23,2022-08-25,13,2022-09-05,157.32
24,2022-09-05,13,2022-09-14,159.43
25,2022-09-14,13,2022-09-23,160.21
26,2022-09-23,13,2022-10-04,161.53
27,2022-10-04,13,2022-10-17,164.81
28,2022-10-17,13,2022-10-27,163.44
29,2022-10-27,13,2022-11-07,163.8
30,2022-11-07,13,2022-11-16,179.42
31,2022-11-16,13,2022-11-25,183.56
32,2022-11-25,13,2022-12-07,179.45
33,2022-12-07,13,2022-12-19,180.86
34,2022-12-19,13,2022-12-28,164.55
