Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,123.08
1,2022-01-04,13,2022-01-13,116.47
2,2022-01-13,13,2022-01-24,115.58
3,2022-01-24,13,2022-02-02,116.17
4,2022-02-02,13,2022-02-11,114.79
5,2022-02-11,13,2022-02-23,116.0
6,2022-02-23,13,2022-03-04,116.26
7,2022-03-04,13,2022-03-15,116.69
8,2022-03-15,13,2022-03-24,116.77
9,2022-03-24,13,2022-04-04,115.65
10,2022-04-04,13,2022-04-19,115.82
11,2022-04-19,13,2022-04-28,116.24
12,2022-04-28,13,2022-05-11,117.82
13,2022-05-11,13,2022-05-23,116.65
14,2022-05-23,13,2022-06-01,116.94
15,2022-06-01,13,2022-06-13,118.7
16,2022-06-13,13,2022-06-22,118.97
17,2022-06-22,13,2022-07-01,119.15
18,2022-07-01,13,2022-07-12,119.2
19,2022-07-12,13,2022-07-22,119.57
20,2022-07-22,13,2022-08-04,119.88
21,2022-08-04,13,2022-08-16,120.17
22,2022-08-16,13,2022-08-25,119.32
23,2022-08-25,13,2022-09-05,120.79
24,2022-09-05,13,2022-09-14,119.91
25,2022-09-14,13,2022-09-23,125.35
26,2022-09-23,13,2022-10-04,121.66
27,2022-10-04,13,2022-10-17,120.88
28,2022-10-17,13,2022-10-27,121.65
29,2022-10-27,13,2022-11-07,122.7
30,2022-11-07,13,2022-11-16,122.74
31,2022-11-16,13,2022-11-25,122.21
32,2022-11-25,13,2022-12-07,123.73
33,2022-12-07,13,2022-12-19,123.55
34,2022-12-19,13,2022-12-28,123.84
