Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,118.3
1,2022-01-04,13,2022-01-13,119.55
2,2022-01-13,13,2022-01-24,120.61
3,2022-01-24,13,2022-02-02,122.28
4,2022-02-02,13,2022-02-11,135.34
5,2022-02-11,13,2022-02-23,133.86
6,2022-02-23,13,2022-03-04,133.05
7,2022-03-04,13,2022-03-15,136.34
8,2022-03-15,13,2022-03-24,138.21
9,2022-03-24,13,2022-04-04,141.09
10,2022-04-04,13,2022-04-19,140.59
11,2022-04-19,13,2022-04-28,141.47
12,2022-04-28,13,2022-05-11,140.96
13,2022-05-11,13,2022-05-23,137.41
14,2022-05-23,13,2022-06-01,137.52
15,2022-06-01,13,2022-06-13,144.59
16,2022-06-13,13,2022-06-22,153.17
17,2022-06-22,13,2022-07-01,154.66
18,2022-07-01,13,2022-07-12,154.22
19,2022-07-12,13,2022-07-22,153.12
20,2022-07-22,13,2022-08-04,154.4
21,2022-08-04,13,2022-08-16,152.87
22,2022-08-16,13,2022-08-25,153.91
23,2022-08-25,13,2022-09-05,155.09
24,2022-09-05,13,2022-09-14,157.28
25,2022-09-14,13,2022-09-23,156.38
26,2022-09-23,13,2022-10-04,156.44
27,2022-10-04,13,2022-10-17,158.71
28,2022-10-17,13,2022-10-27,160.78
29,2022-10-27,13,2022-11-07,159.81
30,2022-11-07,13,2022-11-16,163.27
31,2022-11-16,13,2022-11-25,164.78
32,2022-11-25,13,2022-12-07,169.13
33,2022-12-07,13,2022-12-19,166.96
34,2022-12-19,13,2022-12-28,163.14
