Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,119.3
1,2022-01-04,13,2022-01-13,120.2
2,2022-01-13,13,2022-01-24,121.64
3,2022-01-24,13,2022-02-02,124.27
4,2022-02-02,13,2022-02-11,127.73
5,2022-02-11,13,2022-02-23,125.72
6,2022-02-23,13,2022-03-04,129.68
7,2022-03-04,13,2022-03-15,130.71
8,2022-03-15,13,2022-03-24,137.5
9,2022-03-24,13,2022-04-04,138.2
10,2022-04-04,13,2022-04-19,149.96
11,2022-04-19,13,2022-04-28,150.56
12,2022-04-28,13,2022-05-11,145.7
13,2022-05-11,13,2022-05-23,147.16
14,2022-05-23,13,2022-06-01,152.43
15,2022-06-01,13,2022-06-13,159.05
16,2022-06-13,13,2022-06-22,158.79
17,2022-06-22,13,2022-07-01,151.24
18,2022-07-01,13,2022-07-12,161.51
19,2022-07-12,13,2022-07-22,155.75
20,2022-07-22,13,2022-08-04,159.5
21,2022-08-04,13,2022-08-16,155.11
22,2022-08-16,13,2022-08-25,152.96
23,2022-08-25,13,2022-09-05,155.97
24,2022-09-05,13,2022-09-14,159.26
25,2022-09-14,13,2022-09-23,164.44
26,2022-09-23,13,2022-10-04,162.37
27,2022-10-04,13,2022-10-17,159.83
28,2022-10-17,13,2022-10-27,166.31
29,2022-10-27,13,2022-11-07,170.9
30,2022-11-07,13,2022-11-16,189.95
31,2022-11-16,13,2022-11-25,184.95
32,2022-11-25,13,2022-12-07,183.44
33,2022-12-07,13,2022-12-19,181.67
34,2022-12-19,13,2022-12-28,177.83
