Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,59.36
1,2022-01-04,7,2022-01-13,58.88
2,2022-01-13,7,2022-01-24,60.13
3,2022-01-24,7,2022-02-02,58.22
4,2022-02-02,7,2022-02-11,57.23
5,2022-02-11,7,2022-02-23,58.46
6,2022-02-23,7,2022-03-04,53.38
7,2022-03-04,7,2022-03-15,51.1
8,2022-03-15,7,2022-03-24,50.01
9,2022-03-24,7,2022-04-04,50.41
10,2022-04-04,7,2022-04-19,48.3
11,2022-04-19,7,2022-04-28,48.47
12,2022-04-28,7,2022-05-11,47.25
13,2022-05-11,7,2022-05-23,46.38
14,2022-05-23,7,2022-06-01,46.64
15,2022-06-01,7,2022-06-13,47.25
16,2022-06-13,7,2022-06-22,47.72
17,2022-06-22,7,2022-07-01,47.99
18,2022-07-01,7,2022-07-12,46.41
19,2022-07-12,7,2022-07-22,46.27
20,2022-07-22,7,2022-08-04,46.69
21,2022-08-04,7,2022-08-16,47.1
22,2022-08-16,7,2022-08-25,46.02
23,2022-08-25,7,2022-09-05,46.48
24,2022-09-05,7,2022-09-14,48.31
25,2022-09-14,7,2022-09-23,47.17
26,2022-09-23,7,2022-10-04,46.18
27,2022-10-04,7,2022-10-17,44.39
28,2022-10-17,7,2022-10-27,43.22
29,2022-10-27,7,2022-11-07,43.76
30,2022-11-07,7,2022-11-16,46.2
31,2022-11-16,7,2022-11-25,45.99
32,2022-11-25,7,2022-12-07,45.84
33,2022-12-07,7,2022-12-19,46.36
34,2022-12-19,7,2022-12-28,46.61
