Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,63.58
1,2022-01-04,7,2022-01-13,60.04
2,2022-01-13,7,2022-01-24,59.7
3,2022-01-24,7,2022-02-02,60.75
4,2022-02-02,7,2022-02-11,54.76
5,2022-02-11,7,2022-02-23,57.12
6,2022-02-23,7,2022-03-04,54.23
7,2022-03-04,7,2022-03-15,47.25
8,2022-03-15,7,2022-03-24,43.08
9,2022-03-24,7,2022-04-04,48.91
10,2022-04-04,7,2022-04-19,46.77
11,2022-04-19,7,2022-04-28,49.03
12,2022-04-28,7,2022-05-11,49.01
13,2022-05-11,7,2022-05-23,53.13
14,2022-05-23,7,2022-06-01,51.77
15,2022-06-01,7,2022-06-13,50.83
16,2022-06-13,7,2022-06-22,42.92
17,2022-06-22,7,2022-07-01,45.61
18,2022-07-01,7,2022-07-12,44.8
19,2022-07-12,7,2022-07-22,45.25
20,2022-07-22,7,2022-08-04,41.11
21,2022-08-04,7,2022-08-16,45.15
22,2022-08-16,7,2022-08-25,47.38
23,2022-08-25,7,2022-09-05,50.18
24,2022-09-05,7,2022-09-14,43.06
25,2022-09-14,7,2022-09-23,47.25
26,2022-09-23,7,2022-10-04,41.84
27,2022-10-04,7,2022-10-17,41.04
28,2022-10-17,7,2022-10-27,41.21
29,2022-10-27,7,2022-11-07,46.73
30,2022-11-07,7,2022-11-16,51.07
31,2022-11-16,7,2022-11-25,49.29
32,2022-11-25,7,2022-12-07,49.0
33,2022-12-07,7,2022-12-19,47.93
34,2022-12-19,7,2022-12-28,46.49
