Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,57.3
1,2022-01-04,7,2022-01-13,62.08
2,2022-01-13,7,2022-01-24,62.45
3,2022-01-24,7,2022-02-02,62.37
4,2022-02-02,7,2022-02-11,62.76
5,2022-02-11,7,2022-02-23,62.86
6,2022-02-23,7,2022-03-04,62.54
7,2022-03-04,7,2022-03-15,62.51
8,2022-03-15,7,2022-03-24,62.34
9,2022-03-24,7,2022-04-04,62.23
10,2022-04-04,7,2022-04-19,62.04
11,2022-04-19,7,2022-04-28,62.02
12,2022-04-28,7,2022-05-11,61.84
13,2022-05-11,7,2022-05-23,61.68
14,2022-05-23,7,2022-06-01,61.62
15,2022-06-01,7,2022-06-13,61.31
16,2022-06-13,7,2022-06-22,61.28
17,2022-06-22,7,2022-07-01,61.07
18,2022-07-01,7,2022-07-12,62.02
19,2022-07-12,7,2022-07-22,61.99
20,2022-07-22,7,2022-08-04,62.01
21,2022-08-04,7,2022-08-16,61.63
22,2022-08-16,7,2022-08-25,60.61
23,2022-08-25,7,2022-09-05,60.46
24,2022-09-05,7,2022-09-14,60.32
25,2022-09-14,7,2022-09-23,60.25
26,2022-09-23,7,2022-10-04,60.05
27,2022-10-04,7,2022-10-17,59.83
28,2022-10-17,7,2022-10-27,60.52
29,2022-10-27,7,2022-11-07,59.44
30,2022-11-07,7,2022-11-16,57.29
31,2022-11-16,7,2022-11-25,59.82
32,2022-11-25,7,2022-12-07,59.95
33,2022-12-07,7,2022-12-19,58.96
34,2022-12-19,7,2022-12-28,58.72
