Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,66.09
1,2022-01-04,7,2022-01-13,57.89
2,2022-01-13,7,2022-01-24,58.84
3,2022-01-24,7,2022-02-02,59.95
4,2022-02-02,7,2022-02-11,53.98
5,2022-02-11,7,2022-02-23,58.97
6,2022-02-23,7,2022-03-04,53.52
7,2022-03-04,7,2022-03-15,46.4
8,2022-03-15,7,2022-03-24,44.09
9,2022-03-24,7,2022-04-04,49.52
10,2022-04-04,7,2022-04-19,48.85
11,2022-04-19,7,2022-04-28,49.23
12,2022-04-28,7,2022-05-11,49.95
13,2022-05-11,7,2022-05-23,52.53
14,2022-05-23,7,2022-06-01,49.12
15,2022-06-01,7,2022-06-13,51.92
16,2022-06-13,7,2022-06-22,43.62
17,2022-06-22,7,2022-07-01,47.45
18,2022-07-01,7,2022-07-12,43.28
19,2022-07-12,7,2022-07-22,43.0
20,2022-07-22,7,2022-08-04,42.88
21,2022-08-04,7,2022-08-16,45.67
22,2022-08-16,7,2022-08-25,45.69
23,2022-08-25,7,2022-09-05,51.68
24,2022-09-05,7,2022-09-14,42.7
25,2022-09-14,7,2022-09-23,47.77
26,2022-09-23,7,2022-10-04,41.94
27,2022-10-04,7,2022-10-17,41.99
28,2022-10-17,7,2022-10-27,42.54
29,2022-10-27,7,2022-11-07,45.12
30,2022-11-07,7,2022-11-16,49.37
31,2022-11-16,7,2022-11-25,52.72
32,2022-11-25,7,2022-12-07,51.87
33,2022-12-07,7,2022-12-19,49.64
34,2022-12-19,7,2022-12-28,47.63
