Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,59.93
1,2022-01-04,7,2022-01-13,62.75
2,2022-01-13,7,2022-01-24,63.39
3,2022-01-24,7,2022-02-02,62.96
4,2022-02-02,7,2022-02-11,63.06
5,2022-02-11,7,2022-02-23,64.7
6,2022-02-23,7,2022-03-04,62.67
7,2022-03-04,7,2022-03-15,62.38
8,2022-03-15,7,2022-03-24,62.18
9,2022-03-24,7,2022-04-04,61.63
10,2022-04-04,7,2022-04-19,61.79
11,2022-04-19,7,2022-04-28,61.59
12,2022-04-28,7,2022-05-11,64.06
13,2022-05-11,7,2022-05-23,61.26
14,2022-05-23,7,2022-06-01,68.41
15,2022-06-01,7,2022-06-13,60.99
16,2022-06-13,7,2022-06-22,65.56
17,2022-06-22,7,2022-07-01,61.54
18,2022-07-01,7,2022-07-12,65.38
19,2022-07-12,7,2022-07-22,60.36
20,2022-07-22,7,2022-08-04,65.36
21,2022-08-04,7,2022-08-16,60.13
22,2022-08-16,7,2022-08-25,65.15
23,2022-08-25,7,2022-09-05,59.43
24,2022-09-05,7,2022-09-14,59.68
25,2022-09-14,7,2022-09-23,64.63
26,2022-09-23,7,2022-10-04,58.73
27,2022-10-04,7,2022-10-17,67.5
28,2022-10-17,7,2022-10-27,71.32
29,2022-10-27,7,2022-11-07,63.95
30,2022-11-07,7,2022-11-16,59.94
31,2022-11-16,7,2022-11-25,59.05
32,2022-11-25,7,2022-12-07,64.24
33,2022-12-07,7,2022-12-19,58.75
34,2022-12-19,7,2022-12-28,58.37
