Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,57.58
1,2022-01-04,7,2022-01-13,60.08
2,2022-01-13,7,2022-01-24,57.78
3,2022-01-24,7,2022-02-02,59.53
4,2022-02-02,7,2022-02-11,57.75
5,2022-02-11,7,2022-02-23,58.31
6,2022-02-23,7,2022-03-04,52.34
7,2022-03-04,7,2022-03-15,50.53
8,2022-03-15,7,2022-03-24,50.4
9,2022-03-24,7,2022-04-04,47.77
10,2022-04-04,7,2022-04-19,47.82
11,2022-04-19,7,2022-04-28,50.03
12,2022-04-28,7,2022-05-11,48.98
13,2022-05-11,7,2022-05-23,42.9
14,2022-05-23,7,2022-06-01,47.6
15,2022-06-01,7,2022-06-13,47.04
16,2022-06-13,7,2022-06-22,45.7
17,2022-06-22,7,2022-07-01,44.56
18,2022-07-01,7,2022-07-12,45.02
19,2022-07-12,7,2022-07-22,45.11
20,2022-07-22,7,2022-08-04,45.41
21,2022-08-04,7,2022-08-16,45.1
22,2022-08-16,7,2022-08-25,46.6
23,2022-08-25,7,2022-09-05,45.64
24,2022-09-05,7,2022-09-14,48.07
25,2022-09-14,7,2022-09-23,44.62
26,2022-09-23,7,2022-10-04,42.81
27,2022-10-04,7,2022-10-17,41.95
28,2022-10-17,7,2022-10-27,40.38
29,2022-10-27,7,2022-11-07,41.29
30,2022-11-07,7,2022-11-16,45.75
31,2022-11-16,7,2022-11-25,44.72
32,2022-11-25,7,2022-12-07,44.73
33,2022-12-07,7,2022-12-19,42.36
34,2022-12-19,7,2022-12-28,45.61
