Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,57.29
1,2022-01-04,7,2022-01-13,60.86
2,2022-01-13,7,2022-01-24,58.23
3,2022-01-24,7,2022-02-02,58.99
4,2022-02-02,7,2022-02-11,59.13
5,2022-02-11,7,2022-02-23,57.98
6,2022-02-23,7,2022-03-04,53.69
7,2022-03-04,7,2022-03-15,50.37
8,2022-03-15,7,2022-03-24,50.67
9,2022-03-24,7,2022-04-04,51.68
10,2022-04-04,7,2022-04-19,50.77
11,2022-04-19,7,2022-04-28,49.52
12,2022-04-28,7,2022-05-11,48.18
13,2022-05-11,7,2022-05-23,41.47
14,2022-05-23,7,2022-06-01,44.67
15,2022-06-01,7,2022-06-13,49.15
16,2022-06-13,7,2022-06-22,45.94
17,2022-06-22,7,2022-07-01,45.19
18,2022-07-01,7,2022-07-12,45.38
19,2022-07-12,7,2022-07-22,45.06
20,2022-07-22,7,2022-08-04,45.0
21,2022-08-04,7,2022-08-16,45.24
22,2022-08-16,7,2022-08-25,47.23
23,2022-08-25,7,2022-09-05,47.78
24,2022-09-05,7,2022-09-14,45.7
25,2022-09-14,7,2022-09-23,45.56
26,2022-09-23,7,2022-10-04,47.0
27,2022-10-04,7,2022-10-17,41.39
28,2022-10-17,7,2022-10-27,40.98
29,2022-10-27,7,2022-11-07,42.14
30,2022-11-07,7,2022-11-16,45.28
31,2022-11-16,7,2022-11-25,46.83
32,2022-11-25,7,2022-12-07,44.97
33,2022-12-07,7,2022-12-19,45.27
34,2022-12-19,7,2022-12-28,45.25
