Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,63.43
1,2022-01-04,7,2022-01-13,54.77
2,2022-01-13,7,2022-01-24,57.08
3,2022-01-24,7,2022-02-02,62.9
4,2022-02-02,7,2022-02-11,59.29
5,2022-02-11,7,2022-02-23,58.92
6,2022-02-23,7,2022-03-04,48.02
7,2022-03-04,7,2022-03-15,50.65
8,2022-03-15,7,2022-03-24,49.56
9,2022-03-24,7,2022-04-04,53.54
10,2022-04-04,7,2022-04-19,51.09
11,2022-04-19,7,2022-04-28,46.28
12,2022-04-28,7,2022-05-11,50.65
13,2022-05-11,7,2022-05-23,48.73
14,2022-05-23,7,2022-06-01,41.71
15,2022-06-01,7,2022-06-13,46.57
16,2022-06-13,7,2022-06-22,43.53
17,2022-06-22,7,2022-07-01,48.13
18,2022-07-01,7,2022-07-12,45.44
19,2022-07-12,7,2022-07-22,44.54
20,2022-07-22,7,2022-08-04,41.74
21,2022-08-04,7,2022-08-16,40.46
22,2022-08-16,7,2022-08-25,47.27
23,2022-08-25,7,2022-09-05,47.47
24,2022-09-05,7,2022-09-14,43.05
25,2022-09-14,7,2022-09-23,48.06
26,2022-09-23,7,2022-10-04,37.15
27,2022-10-04,7,2022-10-17,38.55
28,2022-10-17,7,2022-10-27,39.03
29,2022-10-27,7,2022-11-07,38.61
30,2022-11-07,7,2022-11-16,44.51
31,2022-11-16,7,2022-11-25,51.36
32,2022-11-25,7,2022-12-07,46.53
33,2022-12-07,7,2022-12-19,48.03
34,2022-12-19,7,2022-12-28,43.3
