Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,56.62
1,2022-01-04,7,2022-01-13,59.59
2,2022-01-13,7,2022-01-24,60.34
3,2022-01-24,7,2022-02-02,60.3
4,2022-02-02,7,2022-02-11,56.86
5,2022-02-11,7,2022-02-23,60.2
6,2022-02-23,7,2022-03-04,50.52
7,2022-03-04,7,2022-03-15,50.41
8,2022-03-15,7,2022-03-24,50.48
9,2022-03-24,7,2022-04-04,49.37
10,2022-04-04,7,2022-04-19,47.06
11,2022-04-19,7,2022-04-28,49.5
12,2022-04-28,7,2022-05-11,45.23
13,2022-05-11,7,2022-05-23,44.22
14,2022-05-23,7,2022-06-01,46.82
15,2022-06-01,7,2022-06-13,46.7
16,2022-06-13,7,2022-06-22,43.27
17,2022-06-22,7,2022-07-01,45.02
18,2022-07-01,7,2022-07-12,45.62
19,2022-07-12,7,2022-07-22,45.18
20,2022-07-22,7,2022-08-04,44.53
21,2022-08-04,7,2022-08-16,45.03
22,2022-08-16,7,2022-08-25,46.41
23,2022-08-25,7,2022-09-05,47.61
24,2022-09-05,7,2022-09-14,44.65
25,2022-09-14,7,2022-09-23,45.24
26,2022-09-23,7,2022-10-04,41.41
27,2022-10-04,7,2022-10-17,40.67
28,2022-10-17,7,2022-10-27,41.38
29,2022-10-27,7,2022-11-07,42.11
30,2022-11-07,7,2022-11-16,45.82
31,2022-11-16,7,2022-11-25,45.78
32,2022-11-25,7,2022-12-07,45.81
33,2022-12-07,7,2022-12-19,44.93
34,2022-12-19,7,2022-12-28,48.03
