param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,9.96,12.79,57.14,37.14,31.43,28.57,28.57
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,10.41,13.47,54.29,37.14,31.43,28.57,28.57
BlockRNNModel_input_chunk_length5_modelLSTM_n_epochs15_output_chunk_length1.csv,8.15,11.38,57.14,37.14,28.57,31.43,31.43
LinearRegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,11.33,16.87,40.0,22.86,17.14,28.57,25.71
LinearRegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,7.85,12.51,62.86,25.71,20.0,45.71,42.86
LinearRegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,11.31,16.81,40.0,22.86,17.14,28.57,25.71
LinearRegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,7.83,12.29,62.86,22.86,20.0,48.57,42.86
LinearRegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,11.27,16.78,40.0,22.86,17.14,28.57,25.71
LinearRegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,7.82,12.29,62.86,22.86,20.0,48.57,42.86
RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,5.55,9.56,54.29,14.29,14.29,42.86,42.86
RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,5.84,9.56,51.43,14.29,14.29,40.0,40.0
RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,5.64,9.61,51.43,20.0,20.0,34.29,34.29
RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,5.58,9.68,45.71,14.29,14.29,34.29,34.29
RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,5.87,9.9,48.57,14.29,14.29,37.14,37.14
RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,5.65,9.58,51.43,14.29,14.29,40.0,40.0
RegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,11.33,16.87,40.0,22.86,17.14,28.57,25.71
RegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,7.85,12.51,62.86,25.71,20.0,45.71,42.86
RegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,11.31,16.81,40.0,22.86,17.14,28.57,25.71
RegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,7.83,12.29,62.86,22.86,20.0,48.57,42.86
RegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,11.27,16.78,40.0,22.86,17.14,28.57,25.71
RegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,7.82,12.29,62.86,22.86,20.0,48.57,42.86
TransformerModel_input_chunk_length1_n_epochs15_output_chunk_length1.csv,10.62,13.28,57.14,42.86,31.43,28.57,28.57
TransformerModel_input_chunk_length3_n_epochs15_output_chunk_length1.csv,15.02,19.9,51.43,31.43,25.71,28.57,28.57
TransformerModel_input_chunk_length5_n_epochs15_output_chunk_length1.csv,14.06,18.54,42.86,31.43,28.57,17.14,17.14
XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,6.05,10.07,54.29,22.86,22.86,34.29,34.29
XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,6.77,10.85,51.43,14.29,14.29,40.0,40.0
XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,6.41,10.6,62.86,20.0,20.0,45.71,45.71
XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,6.01,9.98,54.29,20.0,20.0,37.14,37.14
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,6.19,10.06,42.86,17.14,17.14,28.57,28.57
XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,5.62,9.29,60.0,20.0,20.0,42.86,42.86
XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,6.08,10.09,54.29,22.86,22.86,34.29,34.29
XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,6.74,10.91,42.86,17.14,17.14,28.57,28.57
XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,5.56,9.33,62.86,22.86,22.86,42.86,42.86
