Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,382.57
1,2022-01-04,9,2022-01-13,382.73
2,2022-01-13,9,2022-01-24,386.69
3,2022-01-24,9,2022-02-02,387.23
4,2022-02-02,9,2022-02-11,382.27
5,2022-02-11,9,2022-02-23,382.87
6,2022-02-23,9,2022-03-04,386.88
7,2022-03-04,9,2022-03-15,384.81
8,2022-03-15,9,2022-03-24,383.6
9,2022-03-24,9,2022-04-04,382.17
10,2022-04-04,9,2022-04-19,383.33
11,2022-04-19,9,2022-04-28,365.21
12,2022-04-28,9,2022-05-11,361.32
13,2022-05-11,9,2022-05-23,366.02
14,2022-05-23,9,2022-06-01,367.67
15,2022-06-01,9,2022-06-13,375.57
16,2022-06-13,9,2022-06-22,365.52
17,2022-06-22,9,2022-07-01,369.85
18,2022-07-01,9,2022-07-12,376.16
19,2022-07-12,9,2022-07-22,376.14
20,2022-07-22,9,2022-08-04,377.23
21,2022-08-04,9,2022-08-16,365.91
22,2022-08-16,9,2022-08-25,373.0
23,2022-08-25,9,2022-09-05,367.34
24,2022-09-05,9,2022-09-14,356.81
25,2022-09-14,9,2022-09-23,341.86
26,2022-09-23,9,2022-10-04,334.44
27,2022-10-04,9,2022-10-17,329.42
28,2022-10-17,9,2022-10-27,325.02
29,2022-10-27,9,2022-11-07,324.2
30,2022-11-07,9,2022-11-16,332.02
31,2022-11-16,9,2022-11-25,334.98
32,2022-11-25,9,2022-12-07,331.59
33,2022-12-07,9,2022-12-19,331.08
34,2022-12-19,9,2022-12-28,329.12
