Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,380.38
1,2022-01-04,9,2022-01-13,384.29
2,2022-01-13,9,2022-01-24,387.22
3,2022-01-24,9,2022-02-02,387.08
4,2022-02-02,9,2022-02-11,384.72
5,2022-02-11,9,2022-02-23,383.88
6,2022-02-23,9,2022-03-04,385.52
7,2022-03-04,9,2022-03-15,386.03
8,2022-03-15,9,2022-03-24,385.41
9,2022-03-24,9,2022-04-04,380.05
10,2022-04-04,9,2022-04-19,383.05
11,2022-04-19,9,2022-04-28,364.93
12,2022-04-28,9,2022-05-11,360.67
13,2022-05-11,9,2022-05-23,364.86
14,2022-05-23,9,2022-06-01,362.8
15,2022-06-01,9,2022-06-13,373.23
16,2022-06-13,9,2022-06-22,368.44
17,2022-06-22,9,2022-07-01,368.13
18,2022-07-01,9,2022-07-12,376.96
19,2022-07-12,9,2022-07-22,375.41
20,2022-07-22,9,2022-08-04,375.26
21,2022-08-04,9,2022-08-16,369.54
22,2022-08-16,9,2022-08-25,370.95
23,2022-08-25,9,2022-09-05,369.36
24,2022-09-05,9,2022-09-14,357.21
25,2022-09-14,9,2022-09-23,336.98
26,2022-09-23,9,2022-10-04,332.63
27,2022-10-04,9,2022-10-17,336.31
28,2022-10-17,9,2022-10-27,328.48
29,2022-10-27,9,2022-11-07,324.78
30,2022-11-07,9,2022-11-16,331.67
31,2022-11-16,9,2022-11-25,331.71
32,2022-11-25,9,2022-12-07,332.14
33,2022-12-07,9,2022-12-19,330.12
34,2022-12-19,9,2022-12-28,330.61
