param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,7.1,7.94,42.86,8.57,8.57,37.14,37.14
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,7.4,8.32,45.71,8.57,8.57,40.0,40.0
BlockRNNModel_input_chunk_length5_modelLSTM_n_epochs15_output_chunk_length1.csv,7.0,7.96,45.71,8.57,8.57,40.0,40.0
LinearRegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,2.43,2.99,60.0,40.0,40.0,20.0,20.0
LinearRegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,2.12,2.69,62.86,42.86,42.86,20.0,20.0
LinearRegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,2.43,2.99,60.0,40.0,40.0,20.0,20.0
LinearRegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,2.07,2.6,65.71,42.86,42.86,22.86,22.86
LinearRegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,2.43,2.99,60.0,40.0,40.0,20.0,20.0
LinearRegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,2.09,2.62,65.71,42.86,42.86,22.86,22.86
RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,1.96,2.67,57.14,31.43,31.43,25.71,25.71
RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,1.97,2.64,60.0,28.57,28.57,31.43,31.43
RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,1.91,2.5,57.14,25.71,25.71,31.43,31.43
RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,1.93,2.56,51.43,22.86,22.86,28.57,28.57
RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,1.98,2.76,60.0,31.43,31.43,28.57,28.57
RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,1.97,2.64,51.43,25.71,25.71,25.71,25.71
RegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,2.43,2.99,60.0,40.0,40.0,20.0,20.0
RegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,2.12,2.69,62.86,42.86,42.86,20.0,20.0
RegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,2.43,2.99,60.0,40.0,40.0,20.0,20.0
RegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,2.07,2.6,65.71,42.86,42.86,22.86,22.86
RegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,2.43,2.99,60.0,40.0,40.0,20.0,20.0
RegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,2.09,2.62,65.71,42.86,42.86,22.86,22.86
TransformerModel_input_chunk_length1_n_epochs15_output_chunk_length1.csv,7.46,8.34,45.71,8.57,8.57,40.0,40.0
TransformerModel_input_chunk_length3_n_epochs15_output_chunk_length1.csv,7.7,8.42,40.0,11.43,11.43,31.43,31.43
TransformerModel_input_chunk_length5_n_epochs15_output_chunk_length1.csv,6.17,6.71,45.71,17.14,17.14,31.43,31.43
XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,2.82,3.78,51.43,28.57,28.57,22.86,22.86
XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.27,3.07,57.14,37.14,37.14,20.0,20.0
XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,2.85,4.08,45.71,28.57,28.57,17.14,17.14
XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,2.78,3.65,51.43,25.71,25.71,25.71,25.71
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,1.79,2.57,51.43,37.14,37.14,14.29,14.29
XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,2.59,3.81,57.14,34.29,34.29,22.86,22.86
XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,2.7,3.55,51.43,28.57,28.57,22.86,22.86
XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,2.01,2.81,65.71,42.86,42.86,22.86,22.86
XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,2.56,3.8,57.14,34.29,34.29,22.86,22.86
