Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,5,2022-01-04,92.32
1,2022-01-04,5,2022-01-13,86.58
2,2022-01-13,5,2022-01-24,99.01
3,2022-01-24,5,2022-02-02,98.15
4,2022-02-02,5,2022-02-11,99.75
5,2022-02-11,5,2022-02-23,98.8
6,2022-02-23,5,2022-03-04,98.26
7,2022-03-04,5,2022-03-15,99.11
8,2022-03-15,5,2022-03-24,98.86
9,2022-03-24,5,2022-04-04,85.57
10,2022-04-04,5,2022-04-19,99.86
11,2022-04-19,5,2022-04-28,101.08
12,2022-04-28,5,2022-05-11,99.39
13,2022-05-11,5,2022-05-23,88.87
14,2022-05-23,5,2022-06-01,90.28
15,2022-06-01,5,2022-06-13,90.29
16,2022-06-13,5,2022-06-22,90.51
17,2022-06-22,5,2022-07-01,89.83
18,2022-07-01,5,2022-07-12,89.33
19,2022-07-12,5,2022-07-22,89.42
20,2022-07-22,5,2022-08-04,88.57
21,2022-08-04,5,2022-08-16,88.82
22,2022-08-16,5,2022-08-25,91.98
23,2022-08-25,5,2022-09-05,91.22
24,2022-09-05,5,2022-09-14,92.49
25,2022-09-14,5,2022-09-23,96.73
26,2022-09-23,5,2022-10-04,96.51
27,2022-10-04,5,2022-10-17,92.75
28,2022-10-17,5,2022-10-27,94.9
29,2022-10-27,5,2022-11-07,97.68
30,2022-11-07,5,2022-11-16,96.35
31,2022-11-16,5,2022-11-25,97.57
32,2022-11-25,5,2022-12-07,97.15
33,2022-12-07,5,2022-12-19,98.33
34,2022-12-19,5,2022-12-28,99.84
